2018182863,李六四,68,74,80,75,87,96,81,优秀,80,良好,86,82,78,中,87,及格,100,良,69,85,70,78,81,83,70,78,86,72,77,88
2018182865,李五六,71,85,及格,74,88,95,73,良好,67,优秀,96,61,73,中,89,优秀,100,中,99,85,83,85,86,85,90,87,87,70,72,95
2018182862,刘八二,74,81,良好,82,82,85,85,优秀,89,良好,82,87,77,中,90,及格,100,中,81,87,79,82,73,80,90,86,72,73,60,89
2018182870,李三八,72,88,90,54/65,85,80,82,81,67,优秀,90,66,65,中,90,及格,100,中,79,87,80,89,96,84,优秀,81,83,70,63,95
2018182867,刘五一,71,66,中等,62,80,82,85,90,75,良好,84,82,73,中,85,中等,100,良,69,86,80,87,96,90,良好,82,78,85,70,84
2018182849,杨五四,68,89,80,,88,85,,69,,67,不及格,优,94,,优,91,92,87,91,79,90,85,,82,77,89,77,89,82
2018182869,周九四,62,70,中等,77,88,88,83,优秀,80,优秀,78,84,84,及,81,中等,100,及,99,87,71,80,79,65,70,87,91,61,60,96
2018182823,杨五九,94,87,90,,93,78,,99,,83,优秀,良,88,,优,81,81,92,89,89,85,95,,,83,90,83,78,84
2018182812,刘九二,79,92,80,,85,84,,90,,,优秀,优,92,,优,94,84,85,,87,90,94,,94,83,87,91,100,92
2018182818,张六五,75,80,90,,93,87,,99,,83,优,优,,,优,85,89,86,91,87,92,90,,,86,95,85,,85
2018182813,张三七,97,93,良好,,87,84,,99,,,良好,优,87,,优,94,90,90,,84,88,95,,94,80,94,89,98,90
2018182815,李七四,79,76,优秀,,93,84,,69,,89,及格,优,84,,中,91,72,86,97,88,92,91,,,90,95,90,97,88
2018182828,徐六一,70,80,90,,93,76,,99,,91,中等,良,91,,优,91,83,94,87,85,91,88,,,83,79,82,,79
2018182819,王五二,81,,89,81,91,80,,,88,87,中等,92,75,90,良好,85,90,85,,92,93,92,90,,90,87,84
2018182836,李二九,良好,良,74,,,,81,,,69,86,79,82,90,81,86,93,83,85,91,100,60,87,,87,73,85,85,
2018182856,徐四二,77,90,良好,,91,80,,83,,87,不及格,优,77,,良,77,84,81,84,83,91,86,,91,76,77,73,,70
2018182844,李二十,84,88,90,,93,80,,,,92,优秀,良,95,,优,84,83,86,92,86,88,64,,,87,89,87,,80
2018182857,王九八,82,89,90,,80,77,,,,79,中等,中,85,,优,82,90,86,89,77,87,76,,,76,86,82,70,70
2018182855,张五三,66,中等,,90.7,79,,84,,88,优秀,优,84,,优,70,71,84,74,86,91,64,,,91,90,86,63,82
2018182821,杨四八,90,优秀,,94,67,,99,,95,优秀,优,,,优,81,91,82,81,85,94,90,,,78,96,83,,87
2018182846,周三六,72,85,优秀,,83,68,,69,,,及格,良,75,,中,82,83,79,,80,89,86,,,77,91,82,96,73
2018182859,杨二二,94,91,良好,,94,72,,67,,,不及格,良,72,,中,74,88,87,,82,91,68,,69,72,81,76,,61
2018182852,王六三,中,及格,,,81,,,99,,,66,90,85,优,,89,80,,,81,70,77,,84,84,87,70,,100
22,arrk,98
